Día de la semana,Hora de inicio,Hora de fin,Estación de origen,Estación de destino,Número de pasajeros,Nivel de congestión,Clima
Sábado,15:00,18:00,Calle 26,Calle 72,15,Baja,Nublado
Domingo,18:00,21:00,Calle 26,Portal Sur,1,Baja,Nublado
Miércoles,6:00,9:00,Portal Norte,Calle 26,49,Moderada,Lluvioso
Domingo,9:00,12:00,Calle 26,Portal Norte,14,Baja,Lluvioso
Jueves,6:00,9:00,Calle 72,Calle 26,31,Moderada,Soleado
Jueves,9:00,12:00,Portal Norte,Calle 26,81,Alta,Nublado
Martes,12:00,15:00,Portal Norte,Portal Sur,68,Alta,Lluvioso
Martes,9:00,12:00,Portal Norte,Av. Jiménez,12,Baja,Nublado
Jueves,9:00,12:00,Calle 72,Av. Jiménez,13,Baja,Lluvioso
Lunes,18:00,21:00,Portal Sur,Calle 100,51,Moderada,Lluvioso
Sábado,9:00,12:00,Héroes,Portal Norte,6,Baja,Lluvioso
Miércoles,6:00,9:00,Portal Norte,Héroes,17,Baja,Nublado
Viernes,15:00,18:00,Portal Norte,Av. Jiménez,48,Moderada,Lluvioso
Sábado,6:00,9:00,Héroes,Portal Sur,80,Alta,Nublado
Miércoles,15:00,18:00,Calle 100,Héroes,18,Baja,Soleado
Viernes,12:00,15:00,Av. Jiménez,Héroes,58,Moderada,Lluvioso
Domingo,9:00,12:00,Calle 26,Portal Norte,81,Alta,Lluvioso
Jueves,15:00,18:00,Calle 100,Héroes,15,Baja,Nublado
Sábado,9:00,12:00,Calle 100,Av. Jiménez,28,Moderada,Soleado
Miércoles,6:00,9:00,Calle 26,Portal Sur,1,Baja,Soleado
Sábado,15:00,18:00,Calle 100,Héroes,3,Baja,Soleado
Domingo,15:00,18:00,Calle 26,Portal Norte,40,Moderada,Nublado
Miércoles,21:00,24:00,Portal Sur,Calle 26,4,Baja,Soleado
Lunes,9:00,12:00,Calle 26,Av. Jiménez,1,Baja,Nublado
Miércoles,21:00,24:00,Calle 72,Calle 26,5,Baja,Lluvioso
Sábado,9:00,12:00,Av. Jiménez,Portal Norte,40,Moderada,Lluvioso
Martes,18:00,21:00,Calle 100,Av. Jiménez,12,Baja,Lluvioso
Domingo,18:00,21:00,Calle 26,Calle 100,41,Moderada,Nublado
Sábado,9:00,12:00,Calle 100,Av. Jiménez,79,Alta,Lluvioso
Sábado,12:00,15:00,Calle 72,Héroes,38,Baja,Soleado
Sábado,12:00,15:00,Av. Jiménez,Héroes,15,Baja,Soleado
Martes,18:00,21:00,Calle 100,Calle 26,64,Alta,Lluvioso
Martes,21:00,24:00,Calle 100,Portal Norte,81,Alta,Nublado
Sábado,18:00,21:00,Héroes,Calle 100,69,Alta,Soleado
Sábado,9:00,12:00,Av. Jiménez,Calle 100,41,Moderada,Lluvioso
Jueves,6:00,9:00,Portal Norte,Calle 26,27,Moderada,Soleado
Jueves,21:00,24:00,Calle 72,Héroes,68,Alta,Soleado
Jueves,6:00,9:00,Portal Norte,Calle 100,36,Baja,Soleado
Jueves,18:00,21:00,Calle 100,Calle 72,76,Alta,Soleado
Viernes,12:00,15:00,Calle 72,Portal Norte,10,Baja,Nublado
Miércoles,18:00,21:00,Calle 26,Portal Norte,84,Alta,Lluvioso
Martes,6:00,9:00,Calle 100,Portal Sur,33,Moderada,Soleado
Miércoles,12:00,15:00,Portal Sur,Calle 100,28,Moderada,Soleado
Sábado,6:00,9:00,Av. Jiménez,Portal Norte,28,Baja,Soleado
Martes,12:00,15:00,Portal Norte,Héroes,40,Moderada,Nublado
Viernes,12:00,15:00,Calle 72,Portal Sur,45,Moderada,Lluvioso
Miércoles,15:00,18:00,Héroes,Portal Norte,49,Moderada,Lluvioso
Martes,12:00,15:00,Portal Norte,Héroes,99,Alta,Lluvioso
Miércoles,18:00,21:00,Calle 26,Av. Jiménez,66,Alta,Soleado
Jueves,21:00,24:00,Héroes,Calle 26,32,Baja,Soleado
Martes,15:00,18:00,Calle 72,Calle 100,48,Moderada,Lluvioso
Sábado,12:00,15:00,Portal Sur,Portal Norte,81,Alta,Nublado
Miércoles,18:00,21:00,Portal Norte,Calle 72,69,Alta,Lluvioso
Martes,21:00,24:00,Portal Norte,Calle 72,55,Moderada,Lluvioso
Domingo,12:00,15:00,Calle 72,Calle 26,41,Moderada,Nublado
Sábado,6:00,9:00,Av. Jiménez,Héroes,24,Baja,Soleado
Domingo,6:00,9:00,Calle 72,Portal Norte,93,Alta,Lluvioso
Viernes,18:00,21:00,Portal Sur,Calle 72,10,Baja,Lluvioso
Sábado,6:00,9:00,Calle 72,Calle 26,22,Moderada,Soleado
Sábado,9:00,12:00,Portal Norte,Portal Sur,67,Alta,Soleado
Martes,15:00,18:00,Héroes,Portal Sur,80,Alta,Nublado
Jueves,18:00,21:00,Portal Sur,Héroes,48,Moderada,Lluvioso
Sábado,21:00,24:00,Calle 26,Av. Jiménez,40,Moderada,Nublado
Martes,9:00,12:00,Calle 72,Calle 100,66,Alta,Lluvioso
Sábado,9:00,12:00,Portal Sur,Av. Jiménez,81,Alta,Nublado
Sábado,15:00,18:00,Portal Sur,Portal Norte,76,Alta,Soleado
Viernes,18:00,21:00,Av. Jiménez,Calle 72,72,Alta,Soleado
Jueves,15:00,18:00,Av. Jiménez,Calle 26,40,Moderada,Nublado
Martes,12:00,15:00,Calle 72,Portal Sur,71,Alta,Lluvioso
Domingo,9:00,12:00,Portal Norte,Héroes,5,Baja,Lluvioso
Sábado,18:00,21:00,Calle 100,Portal Norte,29,Baja,Soleado
Martes,9:00,12:00,Calle 26,Portal Sur,79,Alta,Soleado
Sábado,18:00,21:00,Calle 26,Portal Norte,55,Moderada,Lluvioso
Martes,21:00,24:00,Portal Norte,Av. Jiménez,18,Baja,Nublado
Sábado,15:00,18:00,Calle 26,Calle 72,25,Moderada,Soleado
Sábado,12:00,15:00,Héroes,Calle 100,40,Baja,Soleado
Domingo,15:00,18:00,Héroes,Av. Jiménez,10,Baja,Soleado
Viernes,9:00,12:00,Portal Norte,Héroes,40,Moderada,Nublado
Jueves,18:00,21:00,Calle 72,Calle 100,40,Moderada,Nublado
Miércoles,9:00,12:00,Calle 26,Portal Norte,41,Moderada,Lluvioso
Lunes,18:00,21:00,Calle 72,Héroes,81,Alta,Nublado
Sábado,21:00,24:00,Portal Sur,Calle 100,2,Baja,Soleado
Jueves,15:00,18:00,Calle 100,Héroes,28,Moderada,Soleado
Sábado,12:00,15:00,Portal Sur,Calle 72,40,Moderada,Nublado
Miércoles,21:00,24:00,Av. Jiménez,Héroes,21,Baja,Nublado
Domingo,15:00,18:00,Héroes,Calle 26,27,Baja,Soleado
Sábado,15:00,18:00,Calle 72,Calle 26,40,Moderada,Nublado
Lunes,21:00,24:00,Calle 100,Av. Jiménez,62,Alta,Soleado
Jueves,12:00,15:00,Calle 72,Portal Norte,78,Alta,Soleado
Viernes,6:00,9:00,Calle 72,Portal Norte,14,Baja,Nublado
Lunes,12:00,15:00,Calle 100,Av. Jiménez,2,Baja,Soleado
Martes,9:00,12:00,Portal Sur,Héroes,30,Moderada,Soleado
Martes,15:00,18:00,Calle 26,Calle 72,4,Baja,Nublado
Sábado,9:00,12:00,Av. Jiménez,Calle 72,0,Baja,Soleado
Sábado,12:00,15:00,Av. Jiménez,Calle 100,44,Moderada,Lluvioso
Sábado,9:00,12:00,Av. Jiménez,Héroes,72,Alta,Soleado
Viernes,12:00,15:00,Calle 26,Calle 100,94,Alta,Lluvioso
Lunes,21:00,24:00,Calle 26,Portal Norte,30,Moderada,Soleado
Viernes,6:00,9:00,Av. Jiménez,Calle 100,81,Alta,Nublado
Lunes,9:00,12:00,Calle 26,Calle 100,88,Alta,Lluvioso
Martes,12:00,15:00,Héroes,Portal Norte,1,Baja,Soleado
Miércoles,9:00,12:00,Héroes,Av. Jiménez,26,Moderada,Soleado
Lunes,21:00,24:00,Calle 100,Héroes,33,Moderada,Soleado
Jueves,21:00,24:00,Av. Jiménez,Calle 26,63,Alta,Lluvioso
Sábado,18:00,21:00,Portal Norte,Héroes,81,Alta,Nublado
Jueves,21:00,24:00,Av. Jiménez,Calle 26,41,Moderada,Nublado
Miércoles,12:00,15:00,Calle 72,Portal Sur,41,Moderada,Nublado
Viernes,21:00,24:00,Portal Sur,Héroes,65,Alta,Lluvioso
Domingo,21:00,24:00,Calle 100,Calle 72,12,Baja,Nublado
Domingo,21:00,24:00,Calle 72,Portal Sur,25,Moderada,Soleado
Lunes,6:00,9:00,Calle 26,Calle 72,27,Moderada,Soleado
Martes,6:00,9:00,Portal Norte,Av. Jiménez,19,Baja,Soleado
Lunes,21:00,24:00,Calle 100,Portal Sur,37,Moderada,Soleado
Jueves,15:00,18:00,Calle 26,Av. Jiménez,23,Moderada,Soleado
Lunes,15:00,18:00,Calle 26,Calle 100,71,Alta,Soleado
Sábado,18:00,21:00,Portal Norte,Héroes,18,Baja,Nublado
Miércoles,12:00,15:00,Calle 26,Héroes,81,Alta,Nublado
Sábado,12:00,15:00,Portal Sur,Héroes,29,Moderada,Soleado
Sábado,18:00,21:00,Portal Norte,Calle 72,40,Moderada,Soleado
Viernes,9:00,12:00,Calle 72,Calle 26,28,Baja,Soleado
Jueves,15:00,18:00,Héroes,Av. Jiménez,80,Alta,Nublado
Miércoles,6:00,9:00,Av. Jiménez,Calle 72,13,Baja,Soleado
Lunes,18:00,21:00,Calle 26,Portal Norte,82,Alta,Lluvioso
Lunes,15:00,18:00,Portal Sur,Calle 100,40,Baja,Soleado
Miércoles,18:00,21:00,Calle 100,Portal Norte,40,Moderada,Nublado
Viernes,12:00,15:00,Héroes,Portal Sur,41,Moderada,Nublado
Martes,12:00,15:00,Portal Norte,Calle 100,7,Baja,Soleado
Viernes,6:00,9:00,Calle 26,Calle 72,9,Baja,Nublado
Domingo,12:00,15:00,Calle 100,Calle 26,80,Alta,Nublado
Lunes,6:00,9:00,Calle 26,Portal Sur,30,Moderada,Soleado
Sábado,6:00,9:00,Héroes,Calle 72,17,Baja,Soleado
Martes,12:00,15:00,Calle 100,Héroes,12,Baja,Lluvioso
Miércoles,9:00,12:00,Héroes,Portal Sur,68,Alta,Lluvioso
Sábado,15:00,18:00,Calle 26,Calle 72,81,Alta,Nublado
Domingo,21:00,24:00,Héroes,Av. Jiménez,3,Baja,Soleado
Domingo,12:00,15:00,Portal Sur,Héroes,9,Baja,Lluvioso
Miércoles,6:00,9:00,Portal Sur,Héroes,6,Baja,Nublado
Sábado,21:00,24:00,Calle 26,Héroes,36,Baja,Soleado
Viernes,9:00,12:00,Calle 72,Portal Sur,71,Alta,Soleado
Lunes,15:00,18:00,Héroes,Calle 72,88,Alta,Lluvioso
Miércoles,9:00,12:00,Av. Jiménez,Héroes,21,Baja,Nublado
Sábado,9:00,12:00,Calle 26,Portal Sur,40,Moderada,Nublado
Domingo,18:00,21:00,Calle 26,Av. Jiménez,24,Moderada,Soleado
Martes,18:00,21:00,Av. Jiménez,Calle 26,12,Baja,Nublado
Jueves,18:00,21:00,Calle 26,Portal Sur,32,Baja,Soleado
Jueves,6:00,9:00,Héroes,Av. Jiménez,51,Moderada,Lluvioso
Jueves,15:00,18:00,Av. Jiménez,Portal Sur,3,Baja,Soleado
Viernes,18:00,21:00,Calle 100,Portal Sur,14,Baja,Soleado
Sábado,12:00,15:00,Portal Norte,Calle 72,78,Alta,Soleado
Martes,6:00,9:00,Calle 72,Portal Sur,41,Moderada,Nublado
Jueves,9:00,12:00,Héroes,Portal Sur,68,Alta,Soleado
Martes,12:00,15:00,Portal Norte,Portal Sur,74,Alta,Lluvioso
Sábado,18:00,21:00,Calle 72,Portal Sur,35,Baja,Soleado
Sábado,21:00,24:00,Calle 26,Calle 100,17,Baja,Lluvioso
Jueves,18:00,21:00,Portal Sur,Calle 100,32,Baja,Soleado
Martes,18:00,21:00,Héroes,Calle 26,40,Moderada,Nublado
Martes,18:00,21:00,Calle 26,Av. Jiménez,40,Moderada,Nublado
Lunes,15:00,18:00,Calle 100,Portal Sur,9,Baja,Nublado
Miércoles,21:00,24:00,Calle 100,Héroes,92,Alta,Lluvioso
Martes,18:00,21:00,Portal Sur,Portal Norte,22,Baja,Soleado
Sábado,6:00,9:00,Héroes,Portal Sur,5,Baja,Soleado
Miércoles,9:00,12:00,Héroes,Calle 26,55,Moderada,Lluvioso
Jueves,21:00,24:00,Calle 72,Portal Sur,40,Moderada,Nublado
Domingo,9:00,12:00,Portal Norte,Av. Jiménez,21,Baja,Soleado
Miércoles,6:00,9:00,Calle 26,Portal Norte,17,Baja,Nublado
Domingo,6:00,9:00,Portal Norte,Av. Jiménez,69,Alta,Soleado
Jueves,18:00,21:00,Héroes,Portal Norte,40,Moderada,Nublado
Sábado,6:00,9:00,Av. Jiménez,Héroes,81,Alta,Nublado
Miércoles,21:00,24:00,Portal Sur,Calle 72,38,Moderada,Soleado
Jueves,6:00,9:00,Calle 72,Portal Norte,40,Moderada,Nublado
Domingo,21:00,24:00,Portal Sur,Av. Jiménez,76,Alta,Soleado
Domingo,6:00,9:00,Portal Sur,Calle 72,20,Baja,Nublado
Viernes,15:00,18:00,Calle 26,Portal Norte,81,Alta,Nublado
Domingo,18:00,21:00,Héroes,Calle 72,81,Alta,Nublado
Miércoles,15:00,18:00,Calle 100,Portal Sur,81,Alta,Nublado
Viernes,9:00,12:00,Portal Sur,Calle 72,40,Moderada,Nublado
Sábado,15:00,18:00,Av. Jiménez,Calle 100,31,Baja,Soleado
Domingo,6:00,9:00,Calle 100,Portal Sur,7,Baja,Soleado
Miércoles,12:00,15:00,Calle 72,Calle 100,82,Alta,Lluvioso
Lunes,6:00,9:00,Av. Jiménez,Calle 72,20,Baja,Nublado
Jueves,12:00,15:00,Portal Sur,Calle 72,95,Alta,Lluvioso
Viernes,21:00,24:00,Portal Sur,Calle 100,22,Moderada,Soleado
Martes,12:00,15:00,Calle 100,Calle 26,29,Moderada,Soleado
Domingo,12:00,15:00,Calle 26,Portal Norte,40,Moderada,Nublado
Viernes,18:00,21:00,Portal Sur,Calle 72,42,Moderada,Lluvioso
Jueves,9:00,12:00,Héroes,Portal Norte,40,Moderada,Nublado
Domingo,9:00,12:00,Calle 26,Héroes,52,Moderada,Lluvioso
Sábado,6:00,9:00,Av. Jiménez,Calle 26,41,Moderada,Nublado
Martes,21:00,24:00,Héroes,Calle 26,62,Alta,Lluvioso
Jueves,12:00,15:00,Portal Sur,Calle 100,40,Baja,Soleado
Viernes,6:00,9:00,Héroes,Portal Norte,6,Baja,Nublado
Viernes,6:00,9:00,Portal Sur,Portal Norte,6,Baja,Nublado
Lunes,12:00,15:00,Portal Sur,Calle 26,86,Alta,Lluvioso
Domingo,15:00,18:00,Calle 100,Av. Jiménez,86,Alta,Lluvioso
Lunes,21:00,24:00,Av. Jiménez,Calle 26,45,Moderada,Lluvioso
Lunes,18:00,21:00,Portal Sur,Calle 72,20,Baja,Nublado
Lunes,15:00,18:00,Av. Jiménez,Héroes,10,Baja,Lluvioso
Lunes,6:00,9:00,Calle 100,Portal Norte,27,Moderada,Soleado
Viernes,21:00,24:00,Av. Jiménez,Héroes,17,Baja,Nublado
Viernes,18:00,21:00,Calle 72,Héroes,48,Moderada,Lluvioso
Domingo,6:00,9:00,Héroes,Av. Jiménez,81,Alta,Nublado
Jueves,6:00,9:00,Av. Jiménez,Héroes,11,Baja,Nublado
Jueves,15:00,18:00,Calle 26,Héroes,3,Baja,Lluvioso
Sábado,9:00,12:00,Calle 100,Portal Norte,79,Alta,Soleado
Domingo,6:00,9:00,Portal Sur,Av. Jiménez,34,Moderada,Soleado
Domingo,12:00,15:00,Av. Jiménez,Portal Norte,80,Alta,Nublado
Domingo,21:00,24:00,Héroes,Portal Norte,24,Moderada,Soleado
Domingo,9:00,12:00,Calle 72,Calle 100,35,Baja,Soleado
Lunes,12:00,15:00,Calle 72,Portal Norte,20,Baja,Nublado
Viernes,18:00,21:00,Calle 26,Portal Norte,12,Baja,Nublado
Martes,9:00,12:00,Av. Jiménez,Calle 100,2,Baja,Nublado
Miércoles,15:00,18:00,Calle 72,Portal Sur,89,Alta,Lluvioso
Miércoles,18:00,21:00,Calle 72,Calle 26,40,Moderada,Nublado
Martes,12:00,15:00,Portal Norte,Portal Sur,8,Baja,Nublado
Viernes,12:00,15:00,Av. Jiménez,Calle 100,81,Alta,Nublado
Sábado,21:00,24:00,Calle 26,Héroes,51,Moderada,Lluvioso
Miércoles,15:00,18:00,Portal Norte,Calle 100,80,Alta,Nublado
Lunes,6:00,9:00,Portal Norte,Calle 72,18,Baja,Lluvioso
Domingo,12:00,15:00,Portal Norte,Héroes,81,Alta,Nublado
Viernes,21:00,24:00,Calle 100,Av. Jiménez,6,Baja,Soleado
Domingo,15:00,18:00,Av. Jiménez,Portal Sur,66,Alta,Lluvioso
Jueves,21:00,24:00,Portal Norte,Calle 100,33,Baja,Soleado
Sábado,6:00,9:00,Héroes,Av. Jiménez,17,Baja,Soleado
Lunes,9:00,12:00,Héroes,Av. Jiménez,81,Alta,Nublado
Jueves,18:00,21:00,Calle 26,Av. Jiménez,3,Baja,Lluvioso
Miércoles,6:00,9:00,Portal Norte,Calle 100,28,Moderada,Soleado
Martes,21:00,24:00,Calle 26,Calle 72,70,Alta,Lluvioso
Martes,18:00,21:00,Av. Jiménez,Calle 72,80,Alta,Nublado
Martes,18:00,21:00,Av. Jiménez,Portal Sur,13,Baja,Nublado
Domingo,15:00,18:00,Calle 26,Calle 72,3,Baja,Nublado
Sábado,18:00,21:00,Calle 26,Héroes,80,Alta,Nublado
Jueves,12:00,15:00,Calle 72,Calle 26,41,Moderada,Nublado
Domingo,12:00,15:00,Portal Norte,Calle 100,33,Baja,Soleado
Domingo,18:00,21:00,Calle 26,Calle 72,20,Baja,Soleado
Sábado,15:00,18:00,Portal Norte,Portal Sur,10,Baja,Lluvioso
Lunes,18:00,21:00,Calle 72,Av. Jiménez,80,Alta,Nublado
Domingo,15:00,18:00,Calle 26,Calle 72,80,Alta,Nublado
Lunes,18:00,21:00,Portal Sur,Calle 72,41,Moderada,Nublado
Martes,21:00,24:00,Portal Sur,Calle 72,69,Alta,Lluvioso
Jueves,18:00,21:00,Calle 100,Calle 26,41,Moderada,Nublado
Martes,12:00,15:00,Calle 100,Av. Jiménez,66,Alta,Soleado
Lunes,12:00,15:00,Portal Sur,Av. Jiménez,40,Moderada,Nublado
Miércoles,21:00,24:00,Portal Norte,Portal Sur,73,Alta,Soleado
Viernes,9:00,12:00,Calle 26,Calle 72,33,Baja,Soleado
Sábado,18:00,21:00,Calle 26,Calle 100,17,Baja,Soleado
Sábado,12:00,15:00,Av. Jiménez,Calle 100,40,Moderada,Soleado
Martes,21:00,24:00,Av. Jiménez,Héroes,13,Baja,Lluvioso
Lunes,15:00,18:00,Héroes,Calle 100,16,Baja,Lluvioso
Jueves,18:00,21:00,Calle 72,Av. Jiménez,80,Alta,Nublado
Viernes,9:00,12:00,Portal Sur,Calle 72,41,Moderada,Lluvioso
Viernes,9:00,12:00,Calle 72,Calle 26,4,Baja,Lluvioso
Martes,15:00,18:00,Av. Jiménez,Calle 100,55,Moderada,Lluvioso
Jueves,21:00,24:00,Calle 100,Calle 72,10,Baja,Nublado
Miércoles,18:00,21:00,Calle 72,Portal Norte,68,Alta,Soleado
Lunes,18:00,21:00,Héroes,Av. Jiménez,41,Moderada,Nublado
Viernes,6:00,9:00,Calle 100,Portal Sur,81,Alta,Nublado
Domingo,9:00,12:00,Calle 26,Calle 72,41,Moderada,Nublado
Jueves,9:00,12:00,Calle 26,Héroes,40,Moderada,Nublado
Miércoles,9:00,12:00,Calle 26,Portal Norte,75,Alta,Lluvioso
Domingo,9:00,12:00,Portal Sur,Calle 26,40,Moderada,Nublado
Lunes,18:00,21:00,Portal Sur,Calle 26,60,Moderada,Lluvioso
Sábado,12:00,15:00,Héroes,Calle 26,0,Baja,Nublado
Martes,12:00,15:00,Portal Norte,Héroes,69,Alta,Soleado
Lunes,6:00,9:00,Portal Norte,Calle 100,2,Baja,Lluvioso
Jueves,6:00,9:00,Héroes,Calle 72,40,Moderada,Nublado
Jueves,15:00,18:00,Héroes,Av. Jiménez,60,Alta,Lluvioso
Viernes,12:00,15:00,Héroes,Av. Jiménez,84,Alta,Lluvioso
Martes,21:00,24:00,Calle 100,Calle 26,30,Moderada,Soleado
Jueves,21:00,24:00,Portal Norte,Portal Sur,36,Moderada,Soleado
Domingo,21:00,24:00,Calle 72,Av. Jiménez,37,Baja,Soleado
Lunes,9:00,12:00,Calle 72,Héroes,41,Moderada,Nublado
Martes,12:00,15:00,Calle 26,Calle 72,50,Moderada,Lluvioso
Jueves,18:00,21:00,Portal Norte,Héroes,60,Moderada,Lluvioso
Miércoles,9:00,12:00,Portal Norte,Calle 100,31,Moderada,Soleado
Miércoles,18:00,21:00,Calle 72,Av. Jiménez,80,Alta,Nublado
Sábado,6:00,9:00,Portal Norte,Calle 100,41,Moderada,Lluvioso
Lunes,12:00,15:00,Calle 72,Calle 26,67,Alta,Soleado
Domingo,15:00,18:00,Calle 100,Portal Sur,21,Moderada,Soleado
Viernes,9:00,12:00,Calle 26,Portal Norte,25,Moderada,Soleado
Sábado,12:00,15:00,Portal Sur,Av. Jiménez,10,Baja,Lluvioso
Lunes,18:00,21:00,Calle 26,Calle 72,12,Baja,Soleado
Miércoles,18:00,21:00,Portal Sur,Calle 100,7,Baja,Lluvioso
Sábado,9:00,12:00,Portal Sur,Calle 72,60,Alta,Lluvioso
Jueves,15:00,18:00,Calle 26,Calle 72,76,Alta,Soleado
Martes,21:00,24:00,Calle 72,Portal Sur,80,Alta,Nublado
Sábado,6:00,9:00,Calle 100,Calle 26,80,Alta,Nublado
Jueves,18:00,21:00,Calle 72,Héroes,20,Baja,Nublado
Martes,15:00,18:00,Av. Jiménez,Héroes,81,Alta,Nublado
Domingo,6:00,9:00,Héroes,Calle 72,18,Baja,Soleado
Domingo,18:00,21:00,Héroes,Portal Norte,36,Moderada,Soleado
Jueves,6:00,9:00,Calle 72,Portal Norte,28,Baja,Soleado
Lunes,15:00,18:00,Portal Norte,Av. Jiménez,22,Moderada,Soleado
Lunes,18:00,21:00,Calle 72,Portal Sur,11,Baja,Nublado
Jueves,15:00,18:00,Calle 26,Calle 100,77,Alta,Soleado
Sábado,21:00,24:00,Héroes,Calle 100,81,Alta,Nublado
Martes,15:00,18:00,Calle 26,Portal Norte,10,Baja,Nublado
Sábado,15:00,18:00,Calle 100,Calle 72,80,Alta,Nublado
Domingo,6:00,9:00,Calle 72,Calle 26,6,Baja,Nublado
Lunes,15:00,18:00,Calle 26,Portal Norte,35,Moderada,Soleado
Sábado,6:00,9:00,Calle 100,Portal Sur,85,Alta,Lluvioso
Domingo,6:00,9:00,Portal Norte,Av. Jiménez,47,Moderada,Lluvioso
Jueves,18:00,21:00,Calle 26,Portal Norte,98,Alta,Lluvioso
Sábado,6:00,9:00,Portal Sur,Calle 72,80,Alta,Nublado
Viernes,6:00,9:00,Héroes,Calle 26,53,Moderada,Lluvioso
Sábado,6:00,9:00,Av. Jiménez,Calle 100,40,Moderada,Soleado
Martes,21:00,24:00,Calle 72,Portal Sur,20,Baja,Nublado
Martes,6:00,9:00,Portal Norte,Portal Sur,8,Baja,Nublado
Martes,21:00,24:00,Calle 100,Calle 26,10,Baja,Lluvioso
Martes,12:00,15:00,Portal Norte,Calle 100,4,Baja,Lluvioso
Jueves,15:00,18:00,Calle 26,Calle 100,6,Baja,Nublado
Jueves,9:00,12:00,Portal Sur,Av. Jiménez,16,Baja,Nublado
Viernes,21:00,24:00,Calle 72,Héroes,81,Alta,Nublado
Lunes,12:00,15:00,Portal Norte,Calle 100,39,Moderada,Soleado
Martes,12:00,15:00,Calle 100,Calle 72,40,Moderada,Nublado
Sábado,9:00,12:00,Av. Jiménez,Calle 72,71,Alta,Lluvioso
Viernes,6:00,9:00,Portal Norte,Portal Sur,34,Moderada,Soleado
Jueves,18:00,21:00,Portal Sur,Portal Norte,19,Baja,Lluvioso
Miércoles,6:00,9:00,Calle 72,Calle 100,84,Alta,Lluvioso
Lunes,15:00,18:00,Calle 72,Héroes,31,Baja,Soleado
Viernes,18:00,21:00,Héroes,Av. Jiménez,71,Alta,Soleado
Martes,12:00,15:00,Calle 72,Portal Norte,16,Baja,Nublado
Miércoles,9:00,12:00,Portal Sur,Calle 26,3,Baja,Lluvioso
Lunes,6:00,9:00,Calle 72,Calle 100,82,Alta,Lluvioso
Miércoles,6:00,9:00,Av. Jiménez,Calle 26,80,Alta,Nublado
Martes,6:00,9:00,Calle 72,Portal Norte,49,Moderada,Lluvioso
Jueves,6:00,9:00,Calle 72,Calle 26,66,Alta,Soleado
Miércoles,9:00,12:00,Portal Sur,Calle 26,41,Moderada,Nublado
Lunes,15:00,18:00,Portal Norte,Calle 26,13,Baja,Nublado
Jueves,15:00,18:00,Portal Norte,Calle 72,75,Alta,Soleado
Viernes,6:00,9:00,Av. Jiménez,Portal Sur,37,Moderada,Soleado
Viernes,9:00,12:00,Calle 100,Portal Sur,80,Alta,Nublado
Sábado,21:00,24:00,Portal Norte,Calle 26,41,Moderada,Nublado
Sábado,18:00,21:00,Portal Sur,Héroes,16,Baja,Nublado
Sábado,18:00,21:00,Calle 72,Héroes,27,Moderada,Soleado
Sábado,15:00,18:00,Av. Jiménez,Calle 100,76,Alta,Lluvioso
Jueves,21:00,24:00,Av. Jiménez,Héroes,49,Moderada,Lluvioso
Viernes,9:00,12:00,Av. Jiménez,Calle 26,18,Baja,Lluvioso
Martes,9:00,12:00,Calle 100,Av. Jiménez,80,Alta,Nublado
Domingo,21:00,24:00,Calle 100,Portal Sur,10,Baja,Nublado
Jueves,12:00,15:00,Calle 100,Calle 26,5,Baja,Nublado
Sábado,18:00,21:00,Héroes,Calle 72,8,Baja,Lluvioso
Domingo,15:00,18:00,Portal Sur,Av. Jiménez,80,Alta,Nublado
Sábado,21:00,24:00,Av. Jiménez,Héroes,34,Baja,Soleado
Lunes,18:00,21:00,Portal Norte,Calle 72,12,Baja,Soleado
Lunes,12:00,15:00,Av. Jiménez,Portal Sur,40,Moderada,Soleado
Viernes,18:00,21:00,Calle 100,Portal Sur,90,Alta,Lluvioso
Martes,21:00,24:00,Héroes,Calle 72,21,Moderada,Soleado
Domingo,6:00,9:00,Héroes,Portal Norte,25,Moderada,Soleado
Miércoles,15:00,18:00,Calle 26,Calle 100,8,Baja,Nublado
Viernes,6:00,9:00,Calle 72,Calle 100,23,Moderada,Soleado
Sábado,6:00,9:00,Héroes,Portal Sur,57,Moderada,Lluvioso
Sábado,9:00,12:00,Portal Sur,Calle 72,14,Baja,Lluvioso
Miércoles,21:00,24:00,Calle 26,Av. Jiménez,61,Alta,Lluvioso
Lunes,6:00,9:00,Calle 72,Héroes,53,Moderada,Lluvioso
Lunes,21:00,24:00,Portal Norte,Héroes,12,Baja,Soleado
Jueves,18:00,21:00,Av. Jiménez,Portal Norte,78,Alta,Lluvioso
Miércoles,15:00,18:00,Héroes,Calle 26,76,Alta,Soleado
Viernes,21:00,24:00,Portal Norte,Héroes,89,Alta,Lluvioso
Domingo,15:00,18:00,Calle 72,Calle 26,74,Alta,Soleado
Sábado,21:00,24:00,Portal Norte,Portal Sur,81,Alta,Nublado
Viernes,12:00,15:00,Portal Norte,Portal Sur,12,Baja,Nublado
Jueves,18:00,21:00,Calle 26,Portal Sur,24,Moderada,Soleado
Domingo,18:00,21:00,Calle 26,Av. Jiménez,16,Baja,Nublado
Miércoles,9:00,12:00,Calle 100,Héroes,80,Alta,Nublado
Viernes,12:00,15:00,Portal Sur,Calle 26,41,Moderada,Nublado
Viernes,18:00,21:00,Héroes,Calle 26,25,Moderada,Soleado
Viernes,9:00,12:00,Calle 72,Portal Sur,37,Moderada,Soleado
